protected_id	master_record_id	protection_origin	authority_rank	source_bucket	source_tier	scope	file	business_key_type	business_key	source_locator	locator_sha256	field	protected_value	value_sha256	identity_sha256	review_status	authority_status	evidence_path_or_key	expected_count	record_sha256
AUTH-00012	MT-02013	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	BlastダメージUP	WGS-0012		zhCN	Blast伤害UP	04e92a105f2c22daaf5ed33a6b8178592ea5f5df6e37b577c8f34cae586c669b	e4c5df1883a1967d0650b580d6b6d245e3ce90003b3b5ca7c73960466ccb609d	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:13;migrated Wiki glossary candidate;key=global:3a5094ba21303babad10		8c844c4d182d5b631bdc0d0086902dcc8d4d5e472488635416774be3722bcf04
AUTH-00013	MT-02014	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Blastダメージカット	WGS-0013		zhCN	Blast伤害削减	b0330f746c2f29c870b8501501b9c06fa79baf487ebe4f7e77caeac36c6de17b	587bd809a7339ca97d32f7176f00de8b382c8db89e7391672c41aeb788bf5357	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:14;migrated Wiki glossary candidate;key=global:b04d6945f4ce7d3fd133		93ddce084abc89160ea8a9bcefa742fd72bc75448795ecb79f5bacb3de9c63f1
AUTH-00014	MT-02015	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Blastダメージカット状態	WGS-0014		zhCN	Blast伤害削减状态	17b06a856f2d140e4f0fc7d1f93225fe59a49414c0ea749d744bc2c9274388c8	04fec2ec829ba17f79bba5382414a8945225a2ffb01d69d6058a935bb9a32323	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:15;migrated Wiki glossary candidate;key=global:aa78b84a6cd422d326d6		93ee834d345ca5be0554352c15461cb991765bd722d6d61b9b473d937a550d5e
AUTH-00015	MT-02016	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Blastドロー	WGS-0015		zhCN	重抽为Blast	5b4303c87846ea93e21f480526edfa5d70b286fdc9aa21ca16bade05499e5e90	06c824186e6da281a1c993f0de27d401ec2fd0db105bdb0acb48cc2cd7adfc67	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:16;migrated Wiki glossary candidate;key=global:86a7907b5e4d338e2077		0d4eef08b97442f6159c97d7d7496c02f5ee17df3f0912aa97355e904e6acef0
AUTH-00016	MT-02017	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Blast攻撃時MP獲得	WGS-0016		zhCN	Blast攻击时MP获得	5b29dbf976c8a4a92895525fac08a686e3b8c56600dd88f2fef848a39f26e1ef	f4eeb16547f8ba46ce70a3fa4655d2621bf18c5e5bd76ae43e876e67883ba277	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:17;migrated Wiki glossary candidate;key=global:1342c3b5811d6c833baf		917ef23ce649e612767c22d66cb0a4cad95e4ccc57194d100a6ce1df4317df5f
AUTH-00017	MT-02018	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Blast被ダメージUP	WGS-0017		zhCN	受Blast伤害UP	97bf2459e848549e0bcfc5a2c99556e25d4bc6c9ffe6ba437f51b620ee3ead3c	f1f224fde01ff05ff9e57ef9fe4af366c3794312981956b30bca8742336688b7	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:18;migrated Wiki glossary candidate;key=global:b5b442b1019b59dd9c2d		9c8c9ad7e9434feea1961e6e2dc235ebad19ca6a908588c72d9ac0ff2eb9cbb2
AUTH-00018	MT-02019	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	CCの獲得量UP	WGS-0018		zhCN	CC获得量UP	cb30ed39cf83177eff152516014118749e6ed96b655ae3c295e4c81e9e8e9add	9964a2854d70ae84b2eff5a977a3210212b6e365161aac563295715a3915107b	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:19;migrated Wiki glossary candidate;key=global:ea56a654f36363db28f8		3dec54d7b960cd7dbe0d7fe678f217fa7d9f1a995c57ea3301d097bf69ce1510
AUTH-00019	MT-02020	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	CP回復薬	WGS-0019		zhCN	CP回复药	67f882c374efd4fdab899e3cf81349c25f1ca8709597279d5224f0d02bfa41ec	4ea2f9df1a7de05c2c029188b0be8936aa6b8014761ef374e204d5b2e3f8eb31	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:20;migrated Wiki glossary candidate;key=global:17886c15a30f12fcb3e7		138f28bca865e54a55f9a61ea51c49e82b79e743cdf0f7c3b91e70802b210059
AUTH-00020	MT-02021	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge Combo時Charge数+1	WGS-0020		zhCN	Charge Combo时Charge数+1	796c222ba39828259b699002d23164db2a67b1203c35c8f51886c20744f67fbb	44031a6c88b88d5861d4a8218897c73e069af906efafddb0946c6818febed077	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:21;migrated Wiki glossary candidate;key=global:2429c117c74505ead445		8fabc9983cdbe7b1c840ac728843132ed08a7e9eb297930db8dfaa3ace5a43ef
AUTH-00021	MT-02022	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge Combo時Charge数+2	WGS-0021		zhCN	Charge Combo时Charge数+2	990c0813ece802453d2a1c3fae5cb0f32de72665aff66de1f570275ed74a4c6f	98e1671410cf6c989ca30d106c96b3b4061b05bd59cd17de46f36a1de8c5e389	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:22;migrated Wiki glossary candidate;key=global:51bd3cba22b590325aa9		07d6744062f854bf8b4d5feb70a24d97c4ff84ef593d7167fdb0dd645f7e91e9
AUTH-00022	MT-02023	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge Combo時Charge数+3	WGS-0022		zhCN	Charge Combo时Charge数+3	0bf29f3d460e95f4c3326f374f7915026fb285a2a49335d5704064e371821b68	e01af3e193e63c2c7ae1ef5e34e6f84faf525a022c5684fb40cab2a7464d9f66	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:23;migrated Wiki glossary candidate;key=global:3c745641194eb8a92f08		26b8b463b0a28067e5a9768c8033d7e4ec8714c8d2a63f6f5b3b3a5b21ac6c85
AUTH-00023	MT-02024	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge Combo時Charge数+4	WGS-0023		zhCN	Charge Combo时Charge数+4	ef5968fc1396389fe32806f39677395328bf154dda3a51bb9201930e7c39a1cf	30368ace825fb8d4859b8d383abaaf35140e548eab8d43f7888d8b34d129ced8	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:24;migrated Wiki glossary candidate;key=global:ec7fd0c302ebc5730660		d3f7fc261123b5e3b479590c6f376d02629e5ad86b73ccdf29a1e0a3b54296bb
AUTH-00024	MT-02025	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge Combo時Charge数+5	WGS-0024		zhCN	Charge Combo时Charge数+5	3d5afafa29f7a23b7bddd487faaf4c5698edf721292365a5b2b487bffd7b355a	c656dbeb8aeebac5d393d0b547be460ded1659dd9229c6ac80abc915878fd675	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:25;migrated Wiki glossary candidate;key=global:43c3831c335c6a65dad6		783843256e72e4ab68b08c2898bac8949cb708233f7e28007536579a95086fa8
AUTH-00025	MT-02026	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge combo時Charge数+1	WGS-0025		zhCN	Charge Combo时Charge数+1	796c222ba39828259b699002d23164db2a67b1203c35c8f51886c20744f67fbb	717b8f469d3d000923390cd59b0a6a6f526121ff2e96d288f56abe8cb6c0d9c2	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:26;migrated Wiki glossary candidate;key=global:af05c9e255425f3bda71		5cd10516de54946b76b0befc9f67a858d408142acd71c7b0ccb93783040a9b91
AUTH-00026	MT-02027	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge combo時Charge数+2	WGS-0026		zhCN	Charge Combo时Charge数+2	990c0813ece802453d2a1c3fae5cb0f32de72665aff66de1f570275ed74a4c6f	8f0f0aad16f09791c4fc12225e73ff58f3e352a2a626e7d99e06d9d75522fe6e	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:27;migrated Wiki glossary candidate;key=global:bd7bd75828a0cc39d282		7cf003d1bfcd8563741dfe9257ce50ea3df84b32f3ea9f726d2b4707b171dc59
AUTH-00027	MT-02028	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge combo時Charge数+3	WGS-0027		zhCN	Charge Combo时Charge数+3	0bf29f3d460e95f4c3326f374f7915026fb285a2a49335d5704064e371821b68	75c789a14b7ea417fa7acc4df2c446417cf7ad25f418aa831ddb4ecc2e624143	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:28;migrated Wiki glossary candidate;key=global:5869920eacf5359f2d0e		5f7cb14dd4f8f000a546487dd8b0e7549951212740fe4b50678fd990cca8b90e
AUTH-00028	MT-02029	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	ChargeディスクダメージUP	WGS-0028		zhCN	Charge盘伤害UP	bbed00d39e7e4fec11cb2c73b19b36406a6467e065bdc3b53162b0480d649236	26b600ef7dc62083221a97e5ab8f41aba65ecfe0fbcdf5d67395a038d0b7dff6	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:29;migrated Wiki glossary candidate;key=global:88da5a463cb2a7a7ee25		8a54486c6046a0e85ab6fb55d28ab0c417e5a6470be210764d3c869d8f98ee51
AUTH-00029	MT-02030	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Chargeドロー	WGS-0029		zhCN	重抽为Charge	ef9efa5392d7f0e36d93632fd695d7101f8d6398122e963cd84235b140bdb494	e13c9adf8075766faea73ba1f4f45cd1e393a90ff6bc1edf379f2171f6104eb6	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:30;migrated Wiki glossary candidate;key=global:247f247e66494eb43591		273a2b81c580eb3b155a1a701f07b27e9fee7cb9221a8cc79d94cd3d733bae9d
AUTH-00030	MT-02031	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge後ダメージDOWN	WGS-0030		zhCN	Charge后伤害DOWN	928fd5646aec5f673fa3b60c2a9229c99bedfbfff6bb6c27945aab2fac3b0b03	edc2f8aa62746aef982dee38176a1efbc24d30c103a9959fa51c38026246767a	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:31;migrated Wiki glossary candidate;key=global:d76c119ed36856fe7ce7		f31dda3ea4795a3621489d398049fa26679a6c970276e2b8861e6e5e706540c1
AUTH-00031	MT-02032	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge後ダメージUP	WGS-0031		zhCN	Charge后伤害UP	900ce0941134be34e4c5d8e2d56535347473ef90223f421df8d2a9bce4e9116f	a02214aae4def2e7abd214226a93b02ac2ec0656cc6b2f7ea1569cbcc51bfee3	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:32;migrated Wiki glossary candidate;key=global:022d1bcc4115e50dd866		243a2b1e6f980f45fc3661b454169102256756189c4e5aaae3334f4425b65023
AUTH-00032	MT-02033	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge後被ダメージUP	WGS-0032		zhCN	受Charge后伤害UP	7557e742d915b000cb95f8a465beec343b07559eec6b0dcc18efc0ccc01325cd	423ef78b05d8ddbd35cb7446a6bc97d555d1e874e5010baecd98e5d3ec72f051	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:33;migrated Wiki glossary candidate;key=global:4ac25552897cd117748e		4d8dbe8dfb79fc0cbe4891693a8ae35f82e41fd6e7c78b01c326c4ffb0a6e5b6
AUTH-00033	MT-02034	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Charge消費なし	WGS-0033		zhCN	Charge无消耗	cd6c2000ceb90bc24bdddafa2f75d3a0cfdbd66934a3cb9c6414646ae22a84b0	a5491fca3b1a11928be7196328e5f54f92918ddbab405d591a72d70b016825e3	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:34;migrated Wiki glossary candidate;key=global:84feed1a91cb082c5182		bdb534ba04cd61ef39ffb9f310549259be33dd507541e3d7b41956684dd3c5de
AUTH-00034	MT-02035	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	GAN	WGS-0034		zhCN	[https://www.pixiv.net/member.php?id=1294530 GAN]	327decbed2a664c735625fb71786abb7d863e706c8a60396265cc40c1832e249	3289c99ede9dca052129567b76e06f04317e0ccc8b4ef4c4bacc3b57f22834a4	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:35;migrated Wiki glossary candidate;key=global:18772ac2d548dd2bdbd9		4a68724cd96fdcd8b7ee4b2ae3bffbed4d1b558454eaa94fdf6de3421f7be047
AUTH-00035	MT-02036	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	H2SO4	WGS-0035		zhCN	[https://www.pixiv.net/member.php?id=60263 H2SO4]	5b4d4402124794a774529b614df14c8d892cb1c07fbf2fad13a49a12ee5534b7	2f35c387ba27d2ce11a83a8ec553f2fc1abf1ef0479f25fac969f877da8c3807	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:36;migrated Wiki glossary candidate;key=global:cb20afe1307dd513ec8e		c16a5cb1077b432067c80254a16111bc25bbefc6704e78aefc7228fd2b8ade71
AUTH-00036	MT-02037	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	H2SO4、千里GAN	WGS-0036		zhCN	[https://www.pixiv.net/member.php?id=60263 H2SO4]、[https://w	1f8721876269ca352fa934e8169f6aeec3982fc7587ab8801a84bceb60813438	d4e53eea3d2aab21fe6a09acc4a14a67cb22ff97b01c66aa45ef53c831f23e08	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:37;migrated Wiki glossary candidate;key=global:c491b8cca0b5f03721f7		7481f1e01655aff1e62ecd79a773accf38530c67ea69fa11176d86102c720ed4
AUTH-00037	MT-02038	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	HP 回復	WGS-0037		zhCN	回复HP	6bea0087169f39585876a38250790c92ce0308d073e6409bf30d116ca0b1167c	7332ac9426804d0169e99a792114a2becd527d9dc19812bf8a7c04e9515f5708	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:38;migrated Wiki glossary candidate;key=global:21a4f5e36153a07b3ab2		f5dd836786c0386ed5e79b5fa3835d229ea0507e9c27de26174a5fc9657b02a4
AUTH-00038	MT-02039	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	HPの低い仲間一人にHP回復	WGS-0038		zhCN	HP最低的一位同伴回复HP	774fa245d5b265af499d7831459261209a1624e25542c284b0027f20b728dbaa	bfaefaa345c0c0cede7c9296f7231621a2bda977979ab5e4126bd0e852322f33	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:39;migrated Wiki glossary candidate;key=global:8c4f7adecd72e2ce90b0		2d165df73e1453e1ed7cb0be3df2560c7207a98e8ff78e5932a81ebafc8cb22f
AUTH-00039	MT-02040	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	HP全回復	WGS-0039		zhCN	回复全部HP	ba0f5e172ed348af70d2d75cb45a1b0d8379f7da53ce5e223eed1f7573f830d3	2caba3031b45e22072e8cb8d58b44401376274379abd4edf9c4ebad993d587a6	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:40;migrated Wiki glossary candidate;key=global:6bb047d12eeab256aa4e		e5cd9e2680ffa06bd9a303ca8f7a39ee8aa93cd60ec521ba1eddd9b1bbaf1757
AUTH-00040	MT-02041	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	HP回復	WGS-0040		zhCN	回复HP	6bea0087169f39585876a38250790c92ce0308d073e6409bf30d116ca0b1167c	ad483d41b8caa0bb6d0632c60eae0242bb0945ada914c94426b752828d7ca77a	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:41;migrated Wiki glossary candidate;key=global:efd481f2fcd83329aa15		327902470da541c1e63537c90b6ec2331670b0c2f7e4e575e15906da9e897db0
AUTH-00041	MT-02042	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	HP最大値までHP自動回復	WGS-0041		zhCN	自动回复HP到最大值	404fba9632fba925e3bf3ab2ac561cad36e38030fa1416b5c5b523b9b72101e0	8e400114a93e149ea2e878ec83dda924d6ccbf27930072b3274367ee22e4f77f	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:42;migrated Wiki glossary candidate;key=global:edfbf49ad4b2473fd1ad		5300d4151666ab28cd34ff759f79315651f7c180690577738207c49a59228946
AUTH-00042	MT-02043	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	HP最大時攻撃力UP	WGS-0042		zhCN	HP最大时攻击力UP	209757a11e8165dca35c19a7fd432b9a88605cbb88caa7de776014a5ece59286	bd602a8f9f128b5e75de12a7dce6c2ad7c815b3a19be627298522ca430b79363	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:43;migrated Wiki glossary candidate;key=global:8c3a53e4e9217f32db9b		be331d2aba898c4be83e8c10e595fb2cf422624cb6d669509401583eee8a2a05
AUTH-00043	MT-02044	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	HP最大時防御力UP	WGS-0043		zhCN	HP最大时防御力UP	41f96b3effd456b5e5db6e10a4e68c5a8ec97bf2d510317e9389fd852cc3865c	5bfc3e29360e767e03eaa2ff62f2a3cc1b9e5a243cb2d9c3bf098c24ca45f533	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:44;migrated Wiki glossary candidate;key=global:6ab87b4a3822a6b8fa01		cdd51a2f85d68e8aa74733ec5719aae2ea5e437b501468bdd2678dccae78d03c
AUTH-00044	MT-02045	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	HP自動回復	WGS-0044		zhCN	自动回复HP	b9b37692f0efa7f24d8053ed63cc0207ed58fce8862e4b80966781f7f5787cd2	653fd9039bebc33437c2e7865259ed3029afed57678a3336805c72d87c179930	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:45;migrated Wiki glossary candidate;key=global:69ae737b699b90af974c		ccdbc072a56fd0c64f8042c93cb3eb9b2569549b7f3121fcf9f64e4c3951af98
AUTH-00045	MT-02046	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Lynn、佳村はるか（あやめ：木戸衣吹）	WGS-0045		zhCN	Lynn、佳村遥（菖蒲：木户衣吹）	f341f45aa7575ce4dbb5b10c28a2f61a7673dc4e532064c80413798c0f05f8f6	6347bd19224019e8b7b92a52fdcb987b85eea1f188d2ac4f3af4a9017126ccc6	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:46;migrated Wiki glossary candidate;key=global:fc9de00e1f6cb65ba3e2		8f6477c80dc08fad273fc04471364f6b0bfe99b9ed0c95c9fbb28c7e1b41ed71
AUTH-00046	MT-02047	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	MP100以上時MP獲得量UP	WGS-0046		zhCN	MP100以上时MP获得量UP	ed570393227991bbdb4999b3a63f50d122daf67a3cfd15a7187ee7873da40172	0606e8caac7c9dedff447f7825c0282630437d696cd43345a382ddf12e429503	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:47;migrated Wiki glossary candidate;key=global:6dfb88c9b7654ef3338d		66381ca8358fedc1e1b6203f17be91df995cef77c49ec3f06c6b98388340b0a9
AUTH-00047	MT-02048	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	MPが10%溜まった状態でバトル開始	WGS-0047		zhCN	以MP积累10%的状态开始战斗	551141cbc50276b210606e6347cb8deae71a3f23f14b1803030fb806009ca44b	6e7efb99578059ee8d895b3f412446d4d859495c5599997f54b71a3a231dd612	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:48;migrated Wiki glossary candidate;key=global:56870dbbad0a1c0bc7bd		c9ce247729a3d54bdd0aa80ff98da17f08731610091b65cad132f4766b045cb7
